2022-07-06 19:20:18,451 INFO    MainThread:15153 [wandb_setup.py:_flush():76] Loading settings from /home/mohan/.config/wandb/settings
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_setup.py:_flush():76] Loading settings from /home/mohan/git/current_projects/contextual_rl/attention/CARL/experiments/context_importance/outputs/2022-07-06/19-20-18/wandb/settings
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'experiments/context_importance/run_context_importance.py', 'program': '/home/mohan/git/current_projects/contextual_rl/attention/CARL/experiments/context_importance/run_context_importance.py'}
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_init.py:_log_setup():428] Logging user logs to /home/mohan/git/current_projects/contextual_rl/attention/CARL/experiments/context_importance/outputs/2022-07-06/19-20-18/wandb/offline-run-20220706_192018-nc2wxbjh/logs/debug.log
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_init.py:_log_setup():429] Logging internal logs to /home/mohan/git/current_projects/contextual_rl/attention/CARL/experiments/context_importance/outputs/2022-07-06/19-20-18/wandb/offline-run-20220706_192018-nc2wxbjh/logs/debug-internal.log
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_init.py:init():462] calling init triggers
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {'carl': {'hide_context': False, 'dict_observation_space': True, 'scale_context_features': 'no', 'state_context_features': 'changing_context_features', 'add_gaussian_noise_to_context': False, 'gaussian_noise_std_percentage': 0.15}, 'debug': True, 'seed': 0, 'group': None, 'algorithm': 'sac', 'env': 'CARLMountainCarContinuousEnv', 'max_num_frames': 10000, 'n_step': 5, 'gamma': 0.9, 'alpha': 0.2, 'batch_size': 128, 'learning_rate': 0.001, 'q_targ_tau': 0.001, 'warmup_num_frames': 1000, 'pi_warmup_num_frames': 1000, 'pi_update_freq': 4, 'replay_capacity': 100000, 'render_freq': 10000, 'eval_freq': 10000, 'eval_episodes': 10, 'zero_context': False, 'state_context': False, 'pi_context': True, 'q_context': True, 'context_state_indices': None, 'context_branch': {'width': 32}, 'train_contexts': {'num_contexts': 50, 'default_sample_std_percentage': 0.2, 'fallback_sample_std': 0.1}, 'eval_contexts': {'num_contexts': 10, 'default_sample_std_percentage': 0.05, 'fallback_sample_std': 0.1, 'ref_level': 0.2}, 'network': {'width': 32}, 'budget': 250}
2022-07-06 19:20:18,452 INFO    MainThread:15153 [wandb_init.py:init():515] starting backend
2022-07-06 19:20:18,452 INFO    MainThread:15153 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-07-06 19:20:18,466 INFO    MainThread:15153 [backend.py:ensure_launched():217] starting backend process...
2022-07-06 19:20:18,474 INFO    MainThread:15153 [backend.py:ensure_launched():222] started backend process with pid: 15206
2022-07-06 19:20:18,476 INFO    MainThread:15153 [wandb_init.py:init():525] backend started and connected
2022-07-06 19:20:18,481 INFO    MainThread:15153 [wandb_init.py:init():596] updated telemetry
2022-07-06 19:20:18,504 INFO    MainThread:15153 [wandb_init.py:init():662] starting run threads in backend
2022-07-06 19:20:23,394 INFO    MainThread:15153 [wandb_run.py:_console_start():1898] atexit reg
2022-07-06 19:20:23,394 INFO    MainThread:15153 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.REDIRECT
2022-07-06 19:20:23,394 INFO    MainThread:15153 [wandb_run.py:_redirect():1776] Redirecting console.
2022-07-06 19:20:23,395 INFO    MainThread:15153 [wandb_run.py:_redirect():1832] Redirects installed.
2022-07-06 19:20:23,395 INFO    MainThread:15153 [wandb_init.py:init():688] run started, returning control to user process
2022-07-06 19:20:23,395 INFO    MainThread:15153 [wandb_run.py:_config_callback():1136] config_cb None None {'command': 'run_context_importance.py env=CARLMountainCarContinuousEnv', 'slurm_id': None}
2022-07-06 19:20:24,370 INFO    MainThread:15153 [wandb_run.py:_atexit_cleanup():1867] got exitcode: 255
2022-07-06 19:20:24,372 INFO    MainThread:15153 [wandb_run.py:_restore():1839] restore
